feat,desc,miss,min,q01,q25,med,q75,q99,max,mean,std,skew,nuniq
feature_01,Environmental | Solar irradiance proxy,0.2498475,-21.230914309964948,100.76896416086436,439.3842863553072,692.4720976067554,1029.4112965095728,1228.3182577374107,1276.673432626685,718.4810009647318,336.92402472621706,0.035379650795033114,300061
feature_02,Environmental | Ambient temperature proxy,0.249915,-4.696187770994541,10.65961570507475,22.257348072838383,26.985641934193566,31.710721921165604,43.316561288028645,59.939042127857384,26.991573882349712,7.0014712935328705,0.003716706438727095,300034
feature_03,Environmental | Relative humidity proxy,0.2590175,10.616373938908993,24.39991149327754,55.4845460520722,68.67797644770269,79.93421648360822,96.40304121610305,104.30553651532432,66.88582373598177,16.913211205405855,-0.45315273095148895,296393
feature_04,Environmental | Wind speed proxy,0.2509875,-0.5481595550377766,0.5486501343983293,3.2241363641730696,5.009458448200538,7.091756564868183,12.921793112756806,21.478109712435415,5.328182539810971,2.7921900195720544,0.6180009278171883,299605
feature_05,Environmental | Atmospheric pressure proxy,0.250145,956.610526304534,984.9072424173838,1004.8619880165373,1013.0272618936879,1021.1571397872214,1041.0336463372057,1067.1718149715384,1013.0107220013257,12.091837366090536,-0.004054658763769297,299942
feature_06,Environmental | Cloud-cover proxy,0.259545,-0.0543857494500335,0.03315491373352213,0.21578655532725494,0.3386563586126165,0.478408196894123,0.7925926465896537,1.024966290703922,0.354693938303446,0.17976334143324513,0.38198399941359207,296182
feature_07,Thermal | Panel/system temperature proxy,0.304275,-3.0327201296653232,17.89001214585974,33.06524416500945,40.21072723688698,47.76947963230821,63.59211129264931,80.06456337067132,40.44745756674803,10.29300716918283,0.058007720006662274,278290
feature_08,Storage | Battery state-of-charge proxy,0.25075,0.0194567478996688,0.16558263027840733,0.4270231025880512,0.5554007297782126,0.681798635157411,0.9368574444069271,1.020845732651392,0.5538185144952714,0.17519466864355338,-0.04105096838766096,299700
feature_09,Demand | Normalized system demand,0.2497,-0.0300510899707984,0.28366765801823934,0.552936900501962,0.667403261223133,0.7811818784475701,1.050796361847866,1.4327757597809447,0.6669327883961418,0.16676815349577281,-0.006372063938865954,300120
feature_10,Environmental | Air-density proxy,0.2497575,1.0386706143701674,1.104677553827609,1.1545702073108628,1.1758638540654065,1.197487276095442,1.2530862590547347,1.3448179274455063,1.1763851833726313,0.03188004116313755,0.11199517228500194,300097
feature_11,Conversion | Inverter efficiency proxy,0.3026925,0.8991581367856848,0.9242555305582881,0.9409902720637124,0.9473165047985908,0.9532926405906722,0.9669652610593537,0.9833326029125308,0.9469673460332011,0.009157290696174648,-0.20457580485733462,278923
feature_12,Generation | Solar generation proxy,0.2494225,-0.0642335939105199,0.05527590292155596,0.25958791946375537,0.4019406314281908,0.5683240452681231,0.7986135896083641,0.9972695981399984,0.41271909629667947,0.19072363556599112,0.10719509466789179,300231
feature_13,Generation | Wind generation proxy,0.249775,-0.0927952673505793,-0.018667789706149036,0.3749225594660457,1.9435036565833061,6.362074710830655,22.609851051986222,25.543375545101412,4.4234752511471775,5.635818688962501,1.6196327178043546,300090
feature_14,Generation | Gross generation proxy,0.2495875,-0.063942211358435,0.1679865720947979,0.8224966793581796,2.371718958239037,6.785408379247676,23.00787055116339,26.016146496175537,4.8419403428289565,5.643777768451511,1.6154938400495333,300165
feature_15,Conversion | Temperature-loss factor,0.3048275,0.7666468978080776,0.8367990864533559,0.9042240868235054,0.9360204172614331,0.9662935841064804,1.030532449122901,1.0881358837682793,0.9351260898787953,0.04352599321088429,-0.05717226752440285,278069
feature_16,Environmental | Precipitation proxy,0.25926,-1.9322702085405556,-0.9260693122254786,-0.2513282841110189,0.026793726226876452,0.3180197572109424,2.8454250612641903,16.90268071380243,0.09540831169357768,0.6603920373796844,4.140459985049797,296296
feature_17,Engineered | Irradiance-humidity interaction proxy,0.2511925,-12.076920239001405,57.50297874373691,270.89907820906103,444.553532894785,667.2390895239412,1097.2150935774378,1205.572803323401,482.5830988183445,262.8515877015852,0.4670088710454083,299523
feature_18,Engineered | Wind-speed-square proxy,0.248695,-3.5679627432755923,0.09144753533343855,10.454012570741895,25.09663582122509,50.122565632235066,165.8783230177141,463.06128969597216,36.106236355647745,36.000668348541964,1.992308189292114,300522
feature_19,Engineered | Demand-storage interaction proxy,0.2500575,-0.0233678409262751,0.08697658834483872,0.2569879160348031,0.3542045796550224,0.4666212823635527,0.7767388571700935,1.205374706119289,0.3697762701549546,0.1530162019842243,0.5337649247481822,299977
feature_20,Distractor | Synthetic noise sensor,0.2497325,-4.970552508777098,-2.3222251632540982,-0.6729290770940515,-0.0003125592908986,0.675567762415727,2.3358242916593106,4.55912620082116,0.0018155408798634478,1.000152101963878,0.004869412045312483,300107
